Month,Stock,Return,EP,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROA_q,GPM_q,PM_q,AT_q,OCFR+q,FL,DER,CR,CurR,ln_Capital,R_Nm,w_R_Nm,std_Nm,ln_Price,beta,turn_Nm,rating,MACD,DEA,DIR,RSI,PSY,BIAS
78,MMM,1.3697,-0.26461,0.07515,2.5066,1.1541,-0.93243,0.45134,-0.69118,0.73893,0.55317,0.63307,-0.038844,-0.76464,-2.492,-1.2706,-2.3343,0.79881,-1.7462,-0.36819,-0.80655,-1.2703,-0.3133,0.1277,0.0084599,-2.6493,0.62372,0.40177,-0.49137,-0.14218,0.37153,-0.13057,0.64566,-0.18285,1.2017,0.064104,-0.064849
78,AXP,-0.44225,-1.5515,-1.2486,-1.8323,-0.027837,0.12374,0.67319,0.0072576,0.58579,0.57732,0.20253,-0.25697,1.7,-0.53428,-0.8731,0.14024,0.045321,-0.33385,-0.2251,0.27621,-0.81041,0.82104,0.70186,2.0895,0.25279,0.76908,1.7345,1.7524,0.1319,0.030882,-0.9356,-0.57351,0.7818,-0.043847,-0.52818,-0.030871
78,AAPL,2.2593,-0.043168,-0.16025,-0.17069,-1.3689,-0.20693,0.44359,-0.79251,-1.0162,-0.0065028,-0.46637,-2.2254,-0.19312,0.89085,-1.3235,0.48041,-0.72892,1.4157,0.042303,-0.99275,-1.2363,2.3146,-0.75942,-0.056234,-1.6553,-1.4336,0.77139,-0.37106,-0.58035,-0.77129,-0.58388,-0.11391,-1.8782,1.3879,2.3144,-0.35138
78,BA,-0.16492,1.0688,-0.84497,1.1212,3.2344,-0.45858,-0.2741,-1.0626,-0.37294,1.4818,-0.19156,0.16792,-0.25475,0.090518,-0.83604,0.12216,-0.78071,-0.3328,-0.15988,0.96014,1.1532,-2.0539,1.7638,-0.4288,-0.67361,-0.35178,-0.557,-0.46106,-0.27339,1.4886,1.0832,0.27035,0.26755,2.1235,0.43694,-0.7699
78,CAT,1.781,-0.3986,0.988,-1.0735,1.6795,0.47661,-1.0445,0.031525,0.96531,0.82866,-0.89119,-0.072593,-0.90574,-0.68996,-1.0637,-0.46283,0.18351,-1.552,1.151,-1.4371,-0.34844,-0.64719,-0.73878,1.7403,0.54914,0.12774,0.239,0.45466,0.16957,-0.75314,1.7473,0.37849,0.54936,2.069,0.30894,-0.88971
78,CVX,0.78121,-1.2367,0.3844,0.47913,0.56029,-1.5166,-0.43834,-0.0092455,1.4862,1.115,-0.19483,-0.82867,0.63639,-0.9495,-0.69262,0.23069,-0.41837,-0.037391,-1.917,0.31502,-1.5771,0.57129,-1.7358,2.7382,0.96498,1.425,-1.2064,-0.4789,-0.86833,-1.104,-1.4985,-2.6004,0.36048,-0.013877,2.7264,0.051893
78,CSCO,1.0242,-1.4903,1.0855,0.79207,0.80889,-0.33501,-0.12986,0.58246,1.4156,0.88553,0.88611,-0.16426,1.1997,-1.3724,-0.3941,-1.1297,0.85348,-0.27664,0.99258,-0.27481,-0.49849,0.021555,0.50689,0.45907,-1.6592,1.109,-0.32024,0.71541,-0.23541,1.5368,-0.52918,0.01398,0.5974,-0.13519,0.011904,-1.0078
78,DD,1.1698,0.86379,-0.20721,0.41642,-2.1396,-0.57256,-0.64822,-0.73464,-0.22915,-1.8264,-1.3476,-1.128,0.15993,-0.51564,0.28571,-1.6003,-1.7021,-0.20159,-0.14155,-0.82157,0.60143,1.4903,-0.49995,-0.54809,-1.3543,-1.7788,0.27265,0.91371,-0.047556,0.093692,-1.8086,0.41085,0.07062,-0.12707,-0.85926,-0.19823
78,KO,-0.6747,-1.1325,0.39005,-0.86338,-0.061294,0.55468,1.0658,0.70703,0.98302,0.29278,0.51124,-2.0022,-0.29507,-0.55001,-0.87324,-0.92123,-0.094039,0.76808,0.47741,2.0687,0.97018,-0.67497,1.4966,1.3405,-0.46537,0.43083,1.5001,0.39338,-1.2733,-1.6155,0.48175,0.36506,0.78329,0.085275,-0.0073688,-0.66936
78,DIS,0.20705,-0.098579,-2.1412,1.4737,-0.53387,-0.24335,-0.90633,-2.2657,-0.96752,0.0043687,2.2993,1.2552,-2.8586,-0.9294,0.16206,1.8695,-0.36667,0.28711,0.36454,-0.60609,-1.6127,-0.85891,0.28592,-0.84464,-0.87476,-0.13488,-0.35023,0.43347,-0.75651,-1.2625,0.32658,-0.77286,-0.13353,-0.59996,-0.22691,-0.10828
78,XOM,1.4409,-2.322,0.37231,0.22812,1.6246,-0.86261,-0.062751,1.4318,-1.278,0.28429,0.1162,-0.72503,1.8065,0.23407,0.56685,-0.74551,-0.94144,-1.3378,0.81723,-0.46829,-0.41803,0.51919,-1.1224,1.4809,-0.88789,0.13968,0.24037,-0.21767,0.85364,-0.21496,-1.6306,-0.75046,0.89505,-1.0061,-1.1067,-0.3838
78,GE,-1.0802,1.8833,-0.51596,1.5395,0.85489,-1.2681,-0.30456,1.7927,0.35004,-1.1661,-0.059645,-0.25727,-0.79511,0.34887,0.75472,0.97368,-0.45462,1.2401,-0.47223,1.4482,-0.88765,-0.25667,0.0099132,-0.35022,0.71206,-0.35203,0.59491,1.8115,-1.194,0.38506,0.9038,0.78828,-1.0351,-1.4817,1.1418,-2.0686
78,GS,-0.93396,-0.85087,0.73719,1.3101,1.0803,1.9086,0.93598,2.6405,-0.97063,-0.38431,0.15318,2.1891,-1.1542,0.79838,1.2366,0.01885,1.3376,0.292,-0.73396,0.53227,1.5419,0.45245,-0.80541,-0.87976,-1.2213,1.1752,2.0711,0.66251,-0.13471,-2.3524,0.12753,-0.14399,-1.0385,0.14446,0.4036,0.072797
